STN_LABEL;ADR_NUMBER;zip;place;COM_CANTON;lat;long
Mülinenstrasse;27a;3626;Hünibach;BE;46.747488130907335;7.644251242202702
Rue des Prés;54;2720;Tramelan;BE;47.22290650548271;7.092114501940563
Eggenweg;1a;3657;Schwanden (Sigriswil);BE;46.73584845974232;7.7164554112331265
Lorraine;12c;3400;Burgdorf;BE;47.06194830500408;7.631630994533524
Matzwil;146d;3036;Detligen;BE;46.99053848519242;7.271759045976802
Brunnackerweg;10;3367;Thörigen;BE;47.17862726426358;7.727732434365494
Alter Oberländerweg;33a;3653;Oberhofen am Thunersee;BE;46.72500655458469;7.681917927435099
Gyrisbergstrasse;148;3400;Burgdorf;BE;47.066817743697435;7.624236816271348
Rossbrunne;1a;3806;Bönigen b. Interlaken;BE;46.675907224484725;7.8896686978926125
Münchringenstrasse;13;3303;Jegenstorf;BE;47.048576387183935;7.510892360850205
Narzissenweg / Chemin des Narcisses;18;2504;Biel/Bienne;BE;47.14433084423316;7.275257994656968
Stritenstrasse;28a;3176;Neuenegg;BE;46.895640719156155;7.3238764940576555
Inneres Gässli;13;3773;Matten (St. Stephan);BE;46.49468925314564;7.423986837229219
Moserstrasse;27;3014;Bern;BE;46.95733364539203;7.452873522803106
Walchstrasse;33a;3073;Gümligen;BE;46.93682823162506;7.513961470775038
Zaunweg;19;3656;Tschingel ob Gunten;BE;46.72170164833498;7.7076189544649125
Greppen;29;3257;Ammerzwil BE;BE;47.071304491210824;7.340967822127231
Burgstrasse;5a;3600;Thun;BE;46.758987697604056;7.63197786494593
Schrotenweidli;90h;6083;Hasliberg Hohfluh;BE;46.747962189560134;8.179388406321273
Weyernweg;21;2560;Nidau;BE;47.12509987611025;7.235964934734793
Kyburgstrasse;5;3013;Bern;BE;46.95611970396677;7.4487349560555645
Keltenstrasse;29;2563;Ipsach;BE;47.10956406714857;7.225194135728848
Meisenweg;1;2552;Orpund;BE;47.14025852925502;7.304694057411425
Tannenthalbad;10;3434;Landiswil;BE;46.95092861346242;7.696875138723901
Braunloch;64;4924;Obersteckholz;BE;47.20916945410384;7.824452946995007
Engstligenstrasse;11;3715;Adelboden;BE;46.47886481776564;7.561225968973035
Steffisberg;61;3531;Oberthal;BE;46.91050833655153;7.6782522974528105
Hahnenmoosstrasse;49;3715;Adelboden;BE;46.45969399272529;7.534107576587899
Obere Zollgasse;106;3006;Bern;BE;46.94583915981011;7.483501121069104
Hofstatt;302d;6085;Hasliberg Goldern;BE;46.73810827311524;8.19636809787542
Höhenweg;4;4934;Madiswil;BE;47.16709363672136;7.80168864205815
Senggiweg;19;3783;Grund b. Gstaad;BE;46.44316040612531;7.262666206898901
Narzissenweg;4a;3263;Büetigen;BE;47.10385405565954;7.337403677806107
Untere Ey;4b;3706;Leissigen;BE;46.65782236166053;7.7851291357096875
Bachmattstrasse;13;3132;Riggisberg;BE;46.811106912164206;7.48595917651407
Lombachweg;2;3006;Bern;BE;46.93920534801374;7.469036024380275
Büetigenstrasse;17;3292;Busswil BE;BE;47.101921918643114;7.329582518357168
Bodenacher;7t;3047;Bremgarten b. Bern;BE;46.975315308171595;7.429918810760909
Petinescastrasse;3a;2557;Studen BE;BE;47.109967803669115;7.300501650158082
Lerchenhubel;20;3262;Suberg;BE;47.06138358641265;7.341617915892448
Bellevueweg;19b;2562;Port;BE;47.11170504521076;7.2509306486067375
Zälglistrasse;12a;3429;Hellsau;BE;47.145170206257006;7.646682477574846
Höheweg / La Haute-Route;68a;2502;Biel/Bienne;BE;47.142147559981446;7.242504767294819
Hübeliweg;3;2563;Ipsach;BE;47.11367538031236;7.23541547463893
Chräjbel;71b;3673;Linden;BE;46.84322022988062;7.675410459048408
Hauptstrasse;40;3250;Lyss;BE;47.07137957591925;7.308185253504345
Winkel;641f;3766;Boltigen;BE;46.59907929414187;7.354566900391809
Oeyachern;562;3758;Latterbach;BE;46.66359429448188;7.5801178705010495
Guggeren;71;3087;Niedermuhlern;BE;46.852521796198374;7.443931429825397
Lenkstrasse;107b;3772;St. Stephan;BE;46.50557018330158;7.406487081686597
Höheweg;18;3097;Liebefeld;BE;46.93091249424749;7.413066356330346
Altikofenstrasse;251;3048;Worblaufen;BE;46.98079101683263;7.464603239950458
Lischmattenstrasse;5;3775;Lenk im Simmental;BE;46.45439897519121;7.44024203427768
Dorfgasse;30a;2513;Twann;BE;47.09498253425274;7.1581964668465
Seilerweg;3;4538;Oberbipp;BE;47.26023865049546;7.666313138265077
Zilmattstrasse;56;3255;Rapperswil BE;BE;47.06331155771255;7.414238205497779
